"system_type","name","description","interconnected_parts"
"Exhaust System","Exhaust Gas Analyzer Reading (CO, HC, NOx, O2)","Measures pollutants in exhaust stream","Tailpipe, Gas Analyzer Probe"
"Engine","Cylinder Leak-Down Test","Measures cylinder's ability to hold compressed air","Spark Plug Hole, Compressed Air Source, Leak-Down Tester Gauge"
"Transmission System","Transmission Fluid Analysis","Laboratory testing of ATF condition","Transmission Fluid Sample"
"Braking System","Brake Rotor Runout Measurement","Measures side-to-side wobble of rotor surface","Rotor Surface, Dial Indicator"
"Fuel System","Fuel Injector Balance Test","Compares fuel delivery amount between injectors","Specialized Test Equipment/Scan Tool Function"
"Cooling System","Coolant Refractometer Reading","Measures coolant freeze protection level","Coolant Sample, Refractometer"
"Suspension System","Shock Absorber Bounce Test","Manual check for severely worn shocks","Pushing Down Sharply on Vehicle Corner"
"Electrical System","Alternator Output Test (Amperage/Voltage)","Measures alternator's charging performance under load","Alternator Output Terminal/Battery Terminals, Ammeter/Voltmeter"
"Steering System","Wheel Alignment Measurement Printout","Report showing measured and specified alignment angles","Alignment Machine Computer"
"Exhaust System","DPF Regeneration Cycle Status","Indicates status of diesel particulate filter cleaning process","Scan Tool Data/Instrument Cluster Message"
"Engine","Engine Vacuum Reading","Measure of intake manifold vacuum at idle","Intake Manifold Vacuum Port, Vacuum Gauge"
"Transmission System","Clutch Pedal Freeplay Adjustment","Setting correct initial travel before clutch disengagement","Clutch Pedal Linkage/Master Cylinder Pushrod"
"Braking System","Brake Fade Phenomenon","Temporary reduction in braking effectiveness due to heat","Heavy/Repeated Braking Conditions"
"Fuel System","Fuel Rail Pressure Reading (Actual vs Desired)","Scan tool data comparing commanded vs measured pressure","Scan Tool Data Parameter, Fuel Rail Pressure Sensor"
"Cooling System","Thermostat Opening Temperature Specification","Rated temperature at which thermostat should open","Thermostat Body Stamping/Part Specification"
"Suspension System","Tire Rotation Pattern Diagram","Recommended way to move tires to different positions","Owner's Manual/Tire Shop Recommendation"
"Electrical System","Battery Load Test Result","Measures battery's ability to deliver current under load","Battery Terminals, Carbon Pile/Electronic Load Tester"
"Steering System","Steering Effort Variation Diagnosis","Troubleshooting uneven or binding steering feel","Turning Steering Wheel Lock-to-Lock"
"Exhaust System","Muffler Bearing (Humorous / Fictional)","Non-existent part sometimes used as a joke","Mechanic's Humor"
"Engine","Piston Slap Noise","Sound caused by excessive piston-to-cylinder clearance","Engine Cold Start Condition"
"Transmission System","Transmission Shift Flare","Engine RPM increases briefly between automatic gear shifts","During Acceleration/Shifting Event"
"Braking System","Spongy Brake Pedal Feel","Indicates air in hydraulic system or failing master cylinder","Applying Brake Pedal"
"Fuel System","Lean / Rich Fuel Mixture Condition","Imbalance in air/fuel ratio indicated by O2 sensors/scan tool","Scan Tool Data/Engine Performance Issues"
"Cooling System","Overheating Condition","Engine temperature exceeding normal operating range","Temperature Gauge Reading/Warning Light/Steam"
"Suspension System","Vehicle Pulling to One Side","Tendency to drift left or right while driving straight","Driving Condition, Wheel Alignment Issue/Tire Issue/Brake Issue"
"Electrical System","Dim Headlights Issue","Reduced headlight brightness","Night Driving Condition, Charging System/Wiring/Bulb Issue"
"Steering System","Loose Steering Feel","Excessive play or vagueness in steering response","Turning Steering Wheel, Worn Steering Components"
"Exhaust System","Rotten Egg Smell (Hydrogen Sulfide)","Indicates failing catalytic converter (usually)","Running Engine Condition"
"Engine","Rod Knock Noise","Deep knocking sound from bottom end of engine","Engine Running Condition, Severe Internal Wear"
"Transmission System","Slipping Clutch (Manual)","Engine RPM increases but vehicle speed does not correspond","During Acceleration/Gear Change with Manual Transmission"
